stt,nguonthu,so tien,ngay
0653,tiền bán đồ,180000,01/04/2022
0654,thưởng(đi làm),390000,04/08/2023
0655,tiền bán đồ,470000,16/08/2023
0656,tiền bảo hiểm,460000,24/01/2022
0657,thưởng(đi làm),440000,07/02/2023
0658,tiền bán đồ,340000,25/09/2022
0659,buôn bán,410000,07/09/2023
0660,tiền bán hàng,260000,16/06/2022
0661,buôn bán,250000,27/12/2023
0662,tiền bán sách,200000,10/02/2023
0663,tiền bán đồ,300000,16/03/2023
0664,tiền bán đồ,400000,30/12/2022
0665,buôn bán,330000,05/10/2023
0666,thưởng(đi làm),460000,05/07/2022
0667,tiền bán đồ,140000,21/12/2023
0668,tiền hoa hồng,360000,28/07/2023
0669,thưởng(học tập),50000,09/08/2022
0670,thưởng(đi làm),310000,17/04/2023
0671,buôn bán,220000,29/01/2022
0672,tiền bán hàng,290000,01/09/2023
0673,tiền bán vé số,490000,24/09/2022
0674,tiền bảo hiểm,440000,20/04/2023
0675,tiền bảo hiểm,510000,03/09/2022
0676,tiền bán đồ,140000,18/05/2023
0677,học bổng,1860000,24/01/2023
0678,tiền bán sách,230000,17/09/2022
0679,tiền bán hàng,440000,15/07/2022
0680,buôn bán,290000,19/05/2023
0681,tiền bảo hiểm,250000,23/02/2023
0682,buôn bán,440000,28/02/2023
0683,thưởng(học tập),50000,27/03/2022
0684,thưởng(học tập),430000,21/04/2023
0685,tiền bán đồ,410000,16/08/2023
0686,học bổng,1490000,01/09/2022
0687,thưởng(học tập),270000,10/02/2022
0688,tiền bán hàng,200000,07/07/2022
0689,học bổng,1040000,13/02/2022
0690,tiền bán sách,300000,23/02/2023
0691,tiền bố mẹ,1310000,03/03/2022
0692,tiền bố mẹ,1070000,16/06/2022
0693,lương,150000,07/11/2022
0694,học bổng,680000,09/04/2022
0695,lương,140000,12/03/2022
0696,thưởng(học tập),400000,03/04/2022
0697,học bổng,330000,12/02/2023
0698,thưởng(học tập),260000,25/04/2022
0699,thưởng(học tập),180000,18/03/2022
0700,tiền bán hàng,480000,28/08/2022
0701,tiền bán đồ,150000,19/05/2023
0702,tiền bán hàng,480000,27/02/2022
0703,thưởng(học tập),210000,05/06/2022
0704,tiền bán hàng,180000,17/06/2022
0705,tiền bán đồ,200000,03/11/2022
0706,tiền bán hàng,360000,05/08/2022
0707,thưởng(đi làm),390000,27/06/2022
0708,thưởng(đi làm),160000,21/08/2022
0709,thưởng(đi làm),280000,03/01/2022
0710,lương,110000,01/04/2022
0711,tiền bán sách,190000,12/05/2022
0712,buôn bán,380000,22/03/2023
0713,thưởng(đi làm),190000,09/02/2022
0714,tiền bán hàng,360000,12/03/2023
0715,tiền bán vé số,190000,18/07/2022
0716,tiền bán đồ,180000,15/03/2023
0717,tiền bố mẹ,1010000,21/09/2023
0718,tiền bán vé số,340000,20/02/2022
0719,học bổng,1890000,13/03/2023
0720,học bổng,1190000,13/07/2022
0721,thưởng(đi làm),240000,10/04/2022
0722,tiền bảo hiểm,960000,01/03/2022
0723,tiền bán hàng,410000,19/11/2022
0724,tiền bảo hiểm,260000,05/11/2023
0725,thưởng(học tập),60000,16/07/2023
0726,lương,140000,15/07/2022
0727,tiền bảo hiểm,900000,05/11/2022
0728,tiền bán hàng,390000,04/06/2023
0729,buôn bán,270000,17/04/2022
0730,tiền bảo hiểm,680000,20/03/2022
0731,tiền bán sách,160000,22/01/2022
0732,học bổng,660000,01/07/2022
0733,học bổng,420000,10/12/2023
0734,lương,180000,11/03/2023
0735,lương,180000,01/06/2022
0736,thưởng(đi làm),60000,09/03/2022
0737,lương,130000,02/06/2022
0738,tiền bố mẹ,1240000,20/11/2022
0739,tiền bán hàng,420000,01/03/2023
0740,tiền bán đồ,300000,16/06/2023
0741,tiền bán vé số,280000,02/10/2023
0742,tiền bố mẹ,1700000,12/01/2022
0743,tiền hoa hồng,360000,03/01/2023
0744,tiền hoa hồng,350000,08/03/2023
0745,tiền bố mẹ,1790000,01/12/2023
0746,buôn bán,210000,22/04/2023
0747,tiền bố mẹ,1690000,26/04/2023
0748,tiền bán hàng,140000,04/07/2023
0749,tiền bán hàng,430000,08/09/2023
0750,tiền hoa hồng,130000,13/08/2023
0751,tiền bảo hiểm,550000,29/12/2023
0752,thưởng(đi làm),320000,12/06/2022
0753,tiền bán đồ,410000,02/08/2023
0754,buôn bán,420000,07/06/2022
0755,tiền bảo hiểm,270000,24/05/2023
0756,tiền bán sách,400000,21/01/2023
0757,thưởng(đi làm),320000,16/06/2023
0758,tiền bán đồ,170000,22/05/2023
0759,tiền bán đồ,440000,03/05/2022
0760,tiền hoa hồng,300000,12/07/2023
0761,tiền bảo hiểm,460000,07/11/2022
0762,buôn bán,320000,04/11/2022
0763,tiền bán vé số,440000,19/05/2023
0764,tiền bố mẹ,1700000,02/08/2022
0765,tiền bán vé số,430000,10/08/2023
0766,tiền bố mẹ,1310000,25/01/2022
0767,thưởng(học tập),490000,30/01/2022
0768,thưởng(học tập),70000,28/06/2022
0769,tiền bán đồ,420000,29/12/2022
0770,học bổng,390000,12/11/2022
0771,tiền bảo hiểm,880000,04/07/2022
0772,tiền hoa hồng,320000,31/01/2022
0773,lương,100000,18/05/2022
0774,tiền bán sách,240000,21/04/2023
0775,tiền bảo hiểm,730000,26/06/2023
0776,tiền bán đồ,110000,27/02/2023
0777,tiền bố mẹ,1390000,26/11/2022
0778,lương,120000,24/06/2022
0779,tiền bố mẹ,1290000,22/02/2022
0780,tiền bảo hiểm,280000,18/08/2022
0781,tiền hoa hồng,240000,04/05/2023
0782,buôn bán,370000,12/02/2022
0783,tiền bán hàng,250000,08/11/2023
0784,thưởng(học tập),80000,19/12/2023
0785,lương,120000,30/04/2022
0786,lương,110000,17/08/2023
0787,học bổng,580000,08/09/2022
0788,tiền hoa hồng,380000,26/04/2023
0789,học bổng,650000,17/08/2022
0790,tiền bán hàng,290000,24/02/2023
0791,tiền hoa hồng,420000,29/12/2023
0792,thưởng(học tập),220000,11/09/2022
0793,tiền bán hàng,430000,02/12/2022
0794,thưởng(đi làm),330000,14/06/2023
0795,thưởng(đi làm),220000,01/05/2023
0796,tiền bảo hiểm,490000,18/12/2022
0797,thưởng(đi làm),170000,07/01/2023
0798,tiền bán hàng,400000,16/09/2022
0799,tiền bán vé số,170000,24/12/2022
0800,tiền bán sách,110000,07/07/2023
0801,tiền hoa hồng,110000,16/03/2022
0802,tiền bảo hiểm,260000,14/09/2023
0803,tiền bố mẹ,1270000,22/03/2022
0804,tiền hoa hồng,190000,21/09/2023
0805,tiền bán hàng,310000,10/03/2023
0806,thưởng(đi làm),180000,26/11/2023
0807,tiền bảo hiểm,510000,01/09/2022
0808,tiền bán sách,200000,06/07/2022
0809,tiền bảo hiểm,970000,21/07/2023
0810,tiền bán vé số,410000,19/01/2023
0811,học bổng,1250000,15/08/2023
0812,tiền bán sách,450000,18/04/2022
0813,thưởng(đi làm),180000,23/04/2023
0814,tiền bố mẹ,1780000,01/07/2023
0815,tiền hoa hồng,240000,23/11/2022
0816,tiền bảo hiểm,400000,27/08/2022
0817,tiền hoa hồng,270000,14/01/2022
0818,thưởng(học tập),90000,01/11/2023
0819,tiền bán đồ,130000,06/06/2023
0820,tiền bán sách,490000,06/04/2023
0821,tiền bảo hiểm,220000,27/10/2022
0822,tiền bán hàng,300000,09/01/2022
0823,tiền bán đồ,480000,01/06/2023
0824,tiền bán đồ,400000,16/03/2023
0825,tiền bảo hiểm,950000,07/06/2022
0826,thưởng(đi làm),180000,21/03/2022
0827,tiền bố mẹ,1960000,12/01/2022
0828,tiền bán hàng,100000,18/12/2023
0829,tiền bán vé số,430000,27/05/2022
0830,thưởng(đi làm),240000,14/02/2023
0831,học bổng,690000,21/07/2023
0832,tiền bán hàng,340000,13/09/2023
0833,tiền bố mẹ,1430000,29/06/2022
0834,học bổng,1500000,25/03/2022
0835,tiền bán đồ,460000,13/02/2022
0836,tiền bố mẹ,1980000,15/09/2022
0837,tiền bán đồ,170000,17/09/2022
0838,tiền bán sách,490000,14/01/2022
0839,lương,170000,27/06/2022
0840,tiền bán vé số,190000,04/06/2022
0841,tiền bán hàng,440000,06/01/2023
0842,lương,150000,21/01/2023
0843,học bổng,1640000,08/09/2023
0844,tiền bảo hiểm,670000,30/03/2023
0845,tiền bảo hiểm,220000,25/07/2022
0846,tiền bảo hiểm,560000,19/07/2023
0847,thưởng(học tập),320000,20/07/2022
0848,tiền bảo hiểm,410000,12/08/2022
0849,tiền bán đồ,170000,08/08/2022
0850,tiền hoa hồng,440000,10/03/2022
0851,tiền bán đồ,340000,28/04/2023
0852,học bổng,510000,25/07/2023
0853,tiền bán vé số,410000,04/07/2023
0854,học bổng,1900000,26/09/2023
0855,tiền bố mẹ,1300000,20/09/2023
0856,học bổng,1270000,27/11/2023
0857,tiền bố mẹ,1390000,04/03/2023
0858,học bổng,530000,29/06/2022
0859,học bổng,1760000,14/08/2022
0860,thưởng(đi làm),290000,31/01/2023
0861,tiền bán sách,210000,04/08/2022
0862,lương,130000,27/06/2023
0863,tiền hoa hồng,450000,17/06/2023
0864,lương,100000,25/04/2022
0865,tiền bán đồ,270000,14/07/2022
0866,thưởng(học tập),400000,15/03/2022
0867,tiền bán sách,120000,15/01/2023
0868,tiền bố mẹ,1220000,13/04/2023
0869,thưởng(học tập),110000,28/05/2022
0870,tiền bố mẹ,1620000,13/01/2023
0871,thưởng(học tập),260000,17/05/2023
0872,tiền bố mẹ,1290000,13/12/2023
0873,tiền bố mẹ,1830000,08/05/2023
0874,thưởng(học tập),140000,26/08/2022
0875,tiền bán vé số,420000,20/10/2023
0876,lương,170000,20/10/2022
0877,tiền bán đồ,360000,25/02/2022
0878,tiền bán vé số,440000,09/01/2022
0879,tiền bán sách,190000,25/10/2022
0880,tiền bán vé số,160000,02/07/2023
0881,buôn bán,120000,25/01/2022
0882,học bổng,620000,08/01/2022
0883,tiền bán sách,100000,04/08/2023
0884,thưởng(học tập),310000,02/02/2022
0885,lương,190000,14/08/2023
0886,buôn bán,490000,21/11/2022
0887,tiền bố mẹ,1420000,10/11/2022
0888,tiền bán vé số,360000,28/04/2022
0889,tiền bán vé số,470000,31/01/2022
0890,thưởng(đi làm),140000,12/07/2023
0891,học bổng,1460000,16/06/2023
0892,tiền bảo hiểm,920000,14/06/2022
0893,tiền bố mẹ,1250000,23/02/2023
0894,tiền bán đồ,420000,14/10/2023
0895,thưởng(đi làm),250000,20/12/2023
0896,buôn bán,430000,04/09/2022
0897,tiền bố mẹ,1440000,15/04/2022
0898,thưởng(học tập),430000,04/07/2023
0899,thưởng(học tập),80000,10/09/2022
0900,thưởng(đi làm),350000,08/12/2022
0901,buôn bán,230000,18/01/2023
0902,buôn bán,290000,31/07/2023
0903,thưởng(đi làm),50000,03/04/2022
0904,tiền bảo hiểm,550000,22/11/2022
0905,tiền bán vé số,220000,29/11/2022
0906,tiền bảo hiểm,880000,16/07/2022
0907,tiền bán sách,270000,09/09/2022
0908,thưởng(học tập),340000,01/03/2022
0909,lương,170000,16/07/2023
0910,tiền bán đồ,160000,24/10/2023
0911,lương,160000,21/01/2022
0912,tiền bán đồ,290000,05/09/2023
0913,lương,170000,15/01/2022
0914,buôn bán,480000,08/04/2022
0915,tiền bán vé số,210000,04/08/2022
0916,lương,110000,13/08/2022
0917,tiền bán hàng,180000,01/12/2023
0918,buôn bán,460000,15/12/2022
0919,tiền bán đồ,340000,29/08/2022
0920,tiền bán sách,220000,07/01/2022
0921,tiền bán sách,140000,02/04/2023
0922,thưởng(đi làm),470000,09/09/2023
0923,tiền bán sách,250000,28/10/2023
0924,thưởng(đi làm),100000,28/05/2022
0925,tiền bố mẹ,1230000,14/01/2022
0926,buôn bán,470000,08/08/2023
0927,tiền bảo hiểm,690000,17/09/2023
0928,thưởng(học tập),240000,02/11/2022
0929,tiền bán vé số,220000,14/06/2022
0930,tiền bán hàng,280000,07/07/2022
0931,tiền bán sách,480000,29/05/2023
0932,thưởng(đi làm),130000,26/01/2022
0933,buôn bán,460000,21/04/2023
0934,tiền bán hàng,310000,12/08/2023
0935,thưởng(học tập),430000,05/08/2023
0936,tiền bán vé số,170000,14/06/2023
0937,tiền bảo hiểm,420000,15/05/2022
0938,tiền bảo hiểm,480000,16/03/2023
0939,tiền bố mẹ,1440000,03/01/2022
0940,thưởng(đi làm),350000,17/07/2022
0941,thưởng(đi làm),230000,02/03/2023
0942,tiền hoa hồng,210000,20/05/2023
0943,lương,160000,08/03/2023
0944,tiền bố mẹ,1020000,06/02/2022
0945,buôn bán,180000,20/08/2023
0946,tiền hoa hồng,450000,22/08/2022
0947,tiền bảo hiểm,240000,02/03/2023
0948,tiền bán vé số,340000,09/04/2022
0949,tiền bảo hiểm,620000,31/03/2023
0950,tiền bán vé số,480000,27/10/2022
0951,học bổng,330000,29/11/2022
0952,lương,140000,27/04/2022
0953,buôn bán,220000,30/06/2022
0954,lương,110000,07/07/2022
0955,thưởng(học tập),160000,20/12/2023
0956,thưởng(đi làm),370000,20/08/2022
0957,học bổng,1890000,08/05/2022
0958,tiền bán đồ,190000,12/05/2022
0959,lương,180000,21/04/2022
0960,học bổng,1160000,10/03/2023
0961,tiền bảo hiểm,390000,28/08/2022
0962,buôn bán,350000,15/06/2022
0963,buôn bán,410000,26/03/2023
0964,học bổng,1160000,16/04/2022
0965,lương,170000,25/07/2023
0966,học bổng,440000,04/01/2022
0967,thưởng(học tập),350000,20/02/2023
0968,tiền bán vé số,130000,04/12/2022
0969,tiền bán hàng,100000,10/11/2022
0970,tiền bảo hiểm,250000,25/02/2022
0971,thưởng(đi làm),320000,05/09/2023
0972,tiền bố mẹ,1380000,17/09/2022
0973,thưởng(đi làm),310000,22/10/2023
0974,tiền bán sách,220000,13/08/2023
0975,tiền bán sách,260000,18/05/2022
0976,thưởng(đi làm),430000,20/06/2022
0977,tiền bảo hiểm,690000,03/10/2023
0978,buôn bán,380000,20/01/2022
0979,thưởng(học tập),250000,22/06/2022
0980,tiền bán đồ,390000,10/12/2023
0981,tiền bố mẹ,1010000,05/09/2023
0982,tiền bố mẹ,1510000,19/05/2022
0983,tiền bố mẹ,1320000,13/11/2023
0984,thưởng(học tập),230000,09/05/2022
0985,thưởng(đi làm),480000,15/08/2023
0986,buôn bán,360000,23/06/2023
0987,tiền bố mẹ,1680000,26/11/2023
0988,tiền bán vé số,270000,26/07/2023
0989,tiền bán đồ,330000,31/12/2023
0990,tiền bố mẹ,1020000,17/11/2022
0991,tiền bán hàng,110000,15/06/2023
0992,lương,180000,14/10/2023
0993,tiền bán hàng,210000,02/07/2023
0994,tiền hoa hồng,200000,05/10/2023
0995,lương,120000,11/05/2022
0996,thưởng(học tập),250000,16/07/2022
0997,buôn bán,410000,26/10/2023
0998,tiền bán vé số,290000,10/03/2022
0999,tiền bán sách,130000,04/07/2023
1000,buôn bán,280000,06/02/2022
